episode,scenario_id,scenario_type,epsilon,episode_reward,episode_length,done_reason,success
0,5,maze,1.0,2.3,139,goal,1
1,0,maze,0.9995,-555.0,450,timeout,0
2,0,maze,0.999,-567.0,450,timeout,0
3,5,maze,0.998501,-589.0,450,timeout,0
4,2,maze,0.998001,4.3,119,goal2,1
5,1,maze,0.997502,-561.0,450,timeout,0
6,1,maze,0.997004,-537.0,450,timeout,0
7,1,maze,0.996505,-579.0,450,timeout,0
8,5,maze,0.996007,-601.0,450,timeout,0
9,0,maze,0.995509,-577.0,450,timeout,0
10,5,maze,0.995011,-225.5,285,goal2,1
11,5,maze,0.994514,-571.0,450,timeout,0
12,4,maze,0.994016,-487.0,450,timeout,0
13,0,maze,0.993519,-585.0,450,timeout,0
14,4,maze,0.993023,-122.8,256,goal2,1
15,3,maze,0.992526,-199.0,290,goal2,1
16,0,maze,0.99203,-529.0,450,timeout,0
17,0,maze,0.991534,-35.3,171,goal,1
18,0,maze,0.991038,-143.8,246,goal,1
19,1,maze,0.990543,-559.0,450,timeout,0
20,1,maze,0.990047,-168.7,249,goal2,1
21,4,maze,0.989552,-559.0,450,timeout,0
22,4,maze,0.989058,-555.0,450,timeout,0
23,0,maze,0.988563,-575.0,450,timeout,0
24,4,maze,0.988069,-505.0,450,timeout,0
25,1,maze,0.987575,-557.0,450,timeout,0
26,5,maze,0.987081,-59.4,158,goal2,1
27,5,maze,0.986587,-579.0,450,timeout,0
28,5,maze,0.986094,-539.0,450,timeout,0
29,4,maze,0.985601,-326.2,374,goal,1
30,3,maze,0.985108,-605.0,450,timeout,0
31,1,maze,0.984616,-627.0,450,timeout,0
32,3,maze,0.984123,-575.0,450,timeout,0
33,4,maze,0.983631,-92.0,200,goal,1
34,2,maze,0.98314,-567.0,450,timeout,0
35,6,maze,0.982648,-529.0,450,timeout,0
36,6,maze,0.982157,-571.0,450,timeout,0
37,0,maze,0.981666,-102.1,187,goal,1
38,6,maze,0.981175,-561.0,450,timeout,0
39,6,maze,0.980684,-209.9,333,goal2,1
40,1,maze,0.980194,-599.0,450,timeout,0
41,5,maze,0.979704,-631.0,450,timeout,0
42,3,maze,0.979214,-571.0,450,timeout,0
43,2,maze,0.978724,-320.6,382,goal2,1
44,2,maze,0.978235,-372.7,429,goal,1
45,1,maze,0.977746,-337.5,385,goal2,1
46,1,maze,0.977257,-555.0,450,timeout,0
47,6,maze,0.976768,-463.0,450,timeout,0
48,2,maze,0.97628,-285.9,333,goal2,1
49,0,maze,0.975792,-559.0,450,timeout,0
50,0,maze,0.975304,-579.0,450,timeout,0
51,3,maze,0.974816,117.0,30,goal2,1
52,0,maze,0.974329,-545.0,450,timeout,0
53,2,maze,0.973842,-551.0,450,timeout,0
54,6,maze,0.973355,-581.0,450,timeout,0
55,2,maze,0.972868,-175.9,253,goal,1
56,4,maze,0.972382,-555.0,450,timeout,0
57,2,maze,0.971895,-537.0,450,timeout,0
58,6,maze,0.971409,-366.4,408,goal,1
